Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
17,12,Female,White,1,SomeCollege,Public,City,61.342981940429326,67.49860641568318,59.70752653085514,3.2082532559329424,0.8334668152304517,0.9217319466773356,0,1,0,1,0,2,3
18,12,Female,White,1,SomeCollege,Public,Rural,64.99582064944428,57.290565291351214,49.41385564610047,2.3862184473222507,0.8185809563132053,0.6543190822588387,1,1,0,1,0,3,1
14,9,Male,White,4,SomeCollege,Public,Suburban,75.87647531167553,74.37198774474989,71.45462644834524,2.836754073971953,0.9193374048918964,0.283236694500163,1,0,0,1,0,3,4
17,12,Female,Hispanic,4,SomeCollege,Public,City,72.65944656109461,55.65602005993406,57.81812939486498,1.6947646809459926,0.8486682862331776,0.8389166742962504,1,0,0,0,0,4,2
16,11,Male,Hispanic,3,Bachelors+,Public,Town,71.58965040002528,65.22642796185673,67.9745473010564,2.9312388951312007,0.8524281778165305,0.9971230810678886,1,1,0,1,0,4,2
17,12,Male,Two-or-more,4,HS,Public,Suburban,74.91964770238381,67.73063685783625,78.59660641345947,3.037998192495329,0.8839514029925893,1.1972063927835572,1,1,0,0,1,4,4
17,12,Female,Two-or-more,1,<HS,Public,Rural,76.59058961401925,83.61631699900461,87.07548815228192,3.420272267355498,0.9235974233305684,1.0629907027851853,1,1,0,1,0,3,1
15,10,Female,Hispanic,1,HS,Private,Suburban,83.17216950578164,82.15442512215145,87.84405943343822,3.703517427047984,0.9775208357217742,1.047059189779613,1,1,0,0,1,3,2
18,12,Male,Black,4,Bachelors+,Public,Suburban,70.98420690155328,74.14184557642751,64.65506184671926,2.9457452175017824,0.8733022135161034,0.4841995102723489,1,1,0,1,0,2,2
18,12,Male,Black,3,SomeCollege,Public,Suburban,82.80352892720651,76.73428384912829,91.08479902611002,3.8095629013902377,0.940468171381528,1.9560871064139909,1,0,1,1,0,4,2
14,9,Female,White,2,HS,Public,Rural,65.05326755779396,60.73585757501691,71.19556896458026,2.4608314052272022,0.8266702396815204,1.0007552018996566,1,0,0,0,1,3,2
17,12,Female,White,1,HS,Public,Suburban,73.4582017278306,70.40704718970024,64.16479138418174,2.8639260356930287,0.8474422601937227,0.6955988934810606,0,1,0,1,1,3,2
17,12,Female,Asian,3,SomeCollege,Private,Town,67.44599705868723,75.96728209589236,81.15229830269332,3.095353628585471,0.9129029854950612,0.5691843961689251,1,0,0,1,0,2,3
14,9,Male,Hispanic,4,Bachelors+,Public,City,64.31088303094339,65.11939678205388,58.69013699607459,2.452730739487229,0.8672323096987263,0.75080665697657,1,1,0,1,0,3,1
18,12,Female,White,4,<HS,Private,Suburban,82.68008227843812,86.00113092071169,76.7618609127785,2.9757361480149176,0.931473257702964,1.2341284094613023,1,1,0,0,0,3,1
14,9,Female,Hispanic,3,Bachelors+,Public,City,76.25282043911815,62.68771133474244,69.36933781973792,3.1922726077374888,0.8703207264816695,0.4460738409922116,1,0,0,0,0,3,1
14,9,Female,Hispanic,1,SomeCollege,Public,Suburban,83.18506066897193,85.50320242486843,90.41177027314662,4.0,0.9490754534947874,1.5451522559717208,1,1,0,0,0,3,1
17,12,Male,Hispanic,2,SomeCollege,Public,Rural,76.35478039162813,72.92615690448542,69.60514247705656,2.966225714888703,0.9253587817543736,1.2084316714059884,1,0,0,0,0,3,3
14,9,Female,Black,4,HS,Public,Suburban,77.74428231729183,75.49305698611127,65.2113641877329,2.9177177998898496,0.8572519940881304,0.8872046835809873,1,0,0,1,0,3,1
17,12,Female,White,3,HS,Public,Rural,66.66544733066466,79.50193018971473,74.27852775090513,3.164196363388597,0.8885698444053389,0.6117675315842077,1,1,0,0,0,1,2
17,12,Male,White,1,HS,Public,Suburban,75.85307391701919,72.30533986688931,74.65728386258951,2.0939879934291694,0.8900471322601305,0.9105130714799432,0,0,1,0,0,3,1
16,11,Female,Black,2,HS,Private,Suburban,71.16807301339276,71.678517977013,74.58910555191729,3.0877150218858427,0.9080510452547026,1.3313106292445305,1,1,1,1,1,3,1
18,12,Female,White,2,<HS,Public,Suburban,74.5776483951924,65.99288661778601,60.08519732626387,3.292744217631067,0.8560144017610992,0.3913150558759298,0,1,0,0,0,4,2
16,11,Male,White,2,<HS,Private,City,68.55433967766795,62.98924052574112,69.56261554880977,2.7381207078021554,0.8372544551531941,0.9330521736468932,1,1,0,0,0,3,3
17,12,Female,White,4,Bachelors+,Public,Town,100.0,100.0,100.0,4.0,1.0,1.9170634488977216,1,1,1,0,1,4,3
16,11,Male,White,1,HS,Public,Suburban,75.69320701600329,74.64262598546587,89.5333020339948,3.029740913242468,0.9183805226103569,0.7748969988932368,1,0,0,0,0,3,3
15,10,Male,Two-or-more,1,SomeCollege,Public,City,86.86749670070985,77.51363875115729,85.8728226286585,3.165269497601729,0.9360362001909808,0.9714565186372068,0,0,0,1,0,3,2
16,11,Male,White,1,HS,Public,Town,84.00606730864372,78.42648225399589,87.51555791283995,3.034630540653368,0.94536733640161,1.3342424912416162,0,1,0,1,0,4,1
18,12,Female,White,3,SomeCollege,Private,Suburban,87.59659108744133,83.70211340809519,84.98031783487644,3.036088890600685,0.9456857074186192,1.9536142439898536,1,1,0,0,0,3,2
17,12,Male,White,3,<HS,Public,Suburban,72.30578165171471,77.03478226116778,72.18650686254229,2.6210963867606303,0.9445082318630132,0.6498265629898627,1,1,1,0,0,2,3
15,10,Female,Hispanic,1,HS,Public,Suburban,91.96689503270215,89.47913117987656,85.09020869033601,3.69153501249299,0.9735709412121653,1.392620829046876,0,0,0,0,1,5,3
18,12,Female,White,1,<HS,Public,City,75.24327171536008,68.71436746458116,60.89186865505757,2.933168942420416,0.8834609808216596,0.6364854000914721,0,1,0,0,1,3,3
15,10,Male,White,4,Bachelors+,Public,Rural,57.87567258609894,70.91073754127274,61.02963574058607,3.272409910535885,0.8285475896863299,0.6216406363239654,1,1,1,1,0,2,1
15,10,Male,Black,4,Bachelors+,Private,City,80.64976983645708,76.19147128862839,74.73350259867689,3.3331573262915484,0.929185294688712,1.4964235607058225,1,1,0,1,0,3,1
17,12,Male,Black,3,SomeCollege,Public,City,75.10189592270463,73.18889666640081,80.33850146228818,3.18717068562793,0.8980289948261593,0.385567464159817,1,1,0,1,0,3,2
14,9,Female,Black,2,SomeCollege,Public,Suburban,95.94967458743412,87.5862332671845,85.60344140344081,3.006966010298161,0.9370201597091878,0.7271288171336963,1,1,0,1,0,3,2
18,12,Female,White,3,HS,Private,Rural,86.28301460541923,69.57142086255246,73.99894299771748,2.862453347217293,0.8823864274413851,2.003787590049699,0,1,1,0,0,4,1
16,11,Female,Black,2,SomeCollege,Public,Rural,68.26065188840194,68.93500439118449,74.36833183015972,3.0126421533174392,0.8639371095962931,1.0750582786965246,1,1,0,1,0,3,1
14,9,Female,White,4,SomeCollege,Public,City,90.76620124252358,81.45687336905908,91.63841236008176,3.874299628557439,0.9493444033137868,1.7170126936539671,1,1,0,1,0,4,2
17,12,Male,Asian,1,HS,Public,Suburban,76.41004498684003,71.20113015216677,82.0959365028567,2.8080291858884774,0.9556565354103708,1.2865837213284324,1,1,0,0,1,5,3
18,12,Female,Two-or-more,2,SomeCollege,Public,Rural,92.7836985977639,89.35921179711696,100.0,3.654082856105207,1.0,1.5496868021681611,0,1,0,0,0,3,3
15,10,Female,Black,2,<HS,Public,City,89.47379125853438,81.72580332308578,76.9117096515363,2.521209553796254,0.9260023710755488,0.8602239481655651,1,1,0,0,0,4,2
17,12,Female,White,3,HS,Private,City,87.20258717628477,87.5430394702625,86.79607582797286,3.3219190476338496,0.9683987076061692,1.2609763574066957,1,0,0,0,0,3,4
17,12,Male,Hispanic,1,HS,Public,Rural,70.68313336583623,77.53164543566776,80.56505101502275,3.1683622704382803,0.9140438958738836,0.9605632045760452,1,0,1,1,0,2,1
16,11,Male,Two-or-more,4,SomeCollege,Private,Suburban,84.220139397076,100.0,79.01846424619269,3.6163199996047406,0.9572637013927282,1.4526065319403754,1,0,0,1,1,4,2
18,12,Male,White,2,<HS,Public,Rural,92.6473302666276,100.0,87.92591207958962,3.936596528126017,0.9855535725998098,1.3440224684782662,1,0,0,0,0,2,2
14,9,Female,Hispanic,4,Bachelors+,Public,Town,52.63933113386714,55.60358300753696,67.3790784462137,2.679359365071745,0.8234581891005253,0.7681809290303309,1,1,0,0,0,2,1
17,12,Male,White,4,SomeCollege,Private,Rural,75.81433875704161,65.28747901498217,71.33283552101474,3.269275773978266,0.9004588402864417,0.7941455945026543,1,1,1,0,0,2,1
17,12,Female,White,1,<HS,Public,Town,63.919615670251,62.97296358147014,46.76076696037597,2.350478705301957,0.825780046821432,0.1209486682514334,1,1,0,0,0,3,3
14,9,Male,Hispanic,2,SomeCollege,Public,City,81.64998687850223,81.28673822983818,70.83609354591131,3.123204538217052,0.9080511850473374,0.6843474722684086,1,1,0,0,1,2,2
15,10,Male,White,3,HS,Public,Suburban,69.28686239790044,62.71839924914286,65.56032320944036,2.249791954242883,0.8962726422897302,0.5830121770990069,1,1,1,1,0,4,1
18,12,Female,Black,3,HS,Public,Suburban,60.66813923596821,67.75808244958993,71.04857195475674,2.9769035579830403,0.8454578085109125,0.8665116169876734,1,0,0,1,0,4,2
18,12,Male,Hispanic,2,<HS,Private,Rural,72.35492030169708,74.88487126587779,66.73303252917371,2.701304868245399,0.880520471870112,0.936201853867618,1,1,0,1,0,4,1
15,10,Female,White,3,Bachelors+,Public,City,88.88657828959461,81.08549650681194,79.08476171181313,3.28442837034376,0.9439536380007284,1.109416515613183,1,1,1,0,1,3,2
18,12,Male,White,2,<HS,Private,Rural,78.36634303132004,85.02380829525836,86.6218078214469,3.501053657962195,0.934485732307418,1.251433993964698,1,1,1,0,0,3,1
18,12,Female,Asian,4,Bachelors+,Public,Suburban,89.73635007675121,84.69610483611778,92.6454369399258,3.4018482849602227,0.9815255894300416,1.2027056407011874,1,1,0,0,0,4,3
15,10,Male,Black,2,<HS,Private,City,89.0396433386957,90.92858590479068,86.63622398363506,3.65829824270486,0.9396425905337435,1.1314268440038049,1,1,0,1,1,4,2
18,12,Male,Hispanic,1,<HS,Public,City,87.49023657137383,90.37004181428424,77.62181760054497,3.484500521423442,0.951018979271384,0.9838405288129116,0,1,0,0,1,3,4
14,9,Female,Black,3,<HS,Public,Suburban,85.81410444745472,89.18355928322765,86.43412711233273,3.228398269628719,0.9673042735385796,1.4411818586473524,1,1,0,0,0,2,3
17,12,Female,White,4,SomeCollege,Public,Suburban,62.73758870883633,61.148742522027305,61.01906753855607,2.051876362977039,0.850726472546536,1.0193758012480147,1,0,1,1,1,3,3
15,10,Female,Hispanic,2,HS,Public,Rural,80.58802318757942,75.10016080908679,65.59898237776824,2.9782277760452165,0.8921696266218468,0.8689595105638178,0,0,0,0,0,5,2
15,10,Male,White,4,Bachelors+,Public,Suburban,78.7575585902767,83.28070716023193,79.25914089699127,3.558256834363538,0.9253541747760092,0.3994114825660946,1,1,0,0,0,4,2
15,10,Female,Other,4,Bachelors+,Public,Rural,61.03053224979542,77.76769840285088,74.02398647086895,2.8282560264415224,0.8483909353270902,0.5110958654582365,1,1,0,0,0,3,3
18,12,Female,White,2,HS,Private,Suburban,76.11540286547793,71.8195870972466,75.14693707781194,3.5874837683767944,0.8809656729827828,0.9241324419363096,1,1,0,0,1,3,2
15,10,Male,Black,3,SomeCollege,Public,City,69.30677125247728,67.64820938684969,75.60620773126236,3.1236662701340063,0.8852607118785591,1.1218579940594746,1,0,0,0,0,2,1
16,11,Female,Black,3,SomeCollege,Public,City,54.56993183513198,55.59404716153014,51.64425073504045,2.196800112172925,0.817889403344443,0.3185503521209907,1,1,1,0,0,2,2
14,9,Female,Hispanic,3,SomeCollege,Public,Suburban,86.17828985208591,78.67277333917446,85.82989446427675,3.004159525969364,0.9428586339654766,1.1864392089771143,1,0,0,0,0,2,3
16,11,Female,White,3,<HS,Public,City,77.59686177227113,88.55144330213732,87.68236070417906,3.602524153060099,0.9564677977108316,1.3833180956184448,1,1,0,0,0,4,3
14,9,Female,White,3,HS,Public,Suburban,72.2825927304705,77.15796533972669,69.36956468441826,2.795521244292063,0.9077090100757914,0.4957980651439279,1,1,0,0,0,3,3
14,9,Male,White,4,HS,Public,Suburban,71.04012448243077,69.38636050081938,75.75957955830317,3.1191123036908164,0.839426058370892,1.059991424443807,1,1,0,0,0,1,3
18,12,Female,Black,2,HS,Public,Rural,79.71048712204203,76.47041229116819,76.02647059393199,3.789996794961149,0.9099383603714156,1.300954440769449,1,0,0,0,0,4,1
18,12,Male,Hispanic,1,HS,Public,Suburban,75.39317930369697,86.39332271509875,79.66752443885737,3.247737464890766,0.9249740816770464,0.7462284125899763,1,0,0,0,0,1,4
14,9,Female,Black,1,<HS,Public,City,77.88358717233491,62.97523741371773,77.21395088111899,2.340251076948348,0.9192679176562162,0.8489562618743727,0,1,1,1,0,3,4
